zona_leste,zona_norte,zona_oeste,zona_sul,quartos,area,preco
0,1,0,0,0.6931471805599453,3.713572066704308,6.311734809152915
0,0,0,1,2.3978952727983707,6.639875833826536,11.156264806643742
0,1,0,0,1.0986122886681096,4.51085950651685,7.170888478512505
0,0,1,0,0.6931471805599453,3.828641396489095,7.208600337960199
0,0,1,0,1.3862943611198906,4.04305126783455,9.04793908261736
0,0,0,1,1.0986122886681096,4.941642422609304,8.517393171418904
0,0,0,1,1.6094379124341003,5.5254529391317835,8.412054873292933
0,0,0,1,1.3862943611198906,5.272999558563747,8.594339400592892
0,0,0,1,1.6094379124341003,5.017279836814924,9.210440366976517
0,0,1,0,1.0986122886681096,4.61512051684126,8.517393171418904
1,0,0,0,1.3862943611198906,4.61512051684126,7.0909098220799835
0,0,1,0,1.0986122886681096,4.51085950651685,7.650168700845001
0,0,0,1,1.6094379124341003,5.303304908059076,8.434028950155469
1,0,0,0,1.3862943611198906,2.3978952727983707,6.90875477931522
0,1,0,0,0.6931471805599453,3.4339872044851463,6.398594934535208
0,0,0,1,1.6094379124341003,5.327876168789581,8.974744612722734
0,1,0,0,0.6931471805599453,3.713572066704308,6.803505257608338
0,0,0,1,0.6931471805599453,6.2166061010848646,10.571342565808699
0,1,0,0,1.3862943611198906,5.303304908059076,7.496097345175956
0,0,0,1,1.0986122886681096,3.713572066704308,8.243282523048375
1,0,0,0,1.3862943611198906,5.198497031265826,8.160803920954665
0,1,0,0,0.6931471805599453,3.713572066704308,6.55250788703459
1,0,0,0,1.3862943611198906,4.787491742782046,7.919719760924575
0,0,0,1,1.6094379124341003,5.303304908059076,8.987321812850125
0,1,0,0,0.6931471805599453,4.110873864173311,6.55250788703459
0,1,0,0,1.0986122886681096,3.9318256327243257,6.803505257608338
0,0,0,1,1.3862943611198906,5.796057750765372,9.259225769705994
0,0,1,0,1.0986122886681096,5.017279836814924,8.839421607620602
0,1,0,0,1.3862943611198906,5.198497031265826,7.496097345175956
1,0,0,0,1.3862943611198906,5.017279836814924,7.901377353792616
0,0,1,0,1.0986122886681096,5.6240175061873385,9.105090961257085
0,1,0,0,1.3862943611198906,5.771441123130016,8.612685172875459
0,0,1,0,1.0986122886681096,4.852030263919617,8.366602832783736
0,1,0,0,1.0986122886681096,3.828641396489095,6.85751406254539
0,0,1,0,1.0986122886681096,5.484796933490655,8.699681400989514
0,0,1,0,1.3862943611198906,5.5254529391317835,9.679781342959442
1,0,0,0,1.3862943611198906,4.875197323201151,7.601402334583733
0,0,0,1,1.6094379124341003,5.5254529391317835,8.412054873292933
1,0,0,0,1.0986122886681096,4.61512051684126,7.741099090035366
0,0,0,1,1.0986122886681096,4.2626798770413155,8.006700845440367
0,0,1,0,1.0986122886681096,4.189654742026425,7.244941546337007
1,0,0,0,1.0986122886681096,4.912654885736052,6.803505257608338
0,0,0,1,1.0986122886681096,5.707110264748875,8.987321812850125
1,0,0,0,1.6094379124341003,5.736572297479192,8.294299608857235
0,0,0,1,1.3862943611198906,5.303304908059076,8.101980731853192
0,0,0,1,1.0986122886681096,5.327876168789581,9.105090961257085
1,0,0,0,1.3862943611198906,4.51085950651685,7.496097345175956
1,0,0,0,1.3862943611198906,5.993961427306569,8.968396191198256
